Candidato,Elecciones,Contratos,Total contratos S/,Titulos,Bienes,Trabajos,Fuente
Keiko Fujimori Higuchi,7,0,0,2,1,1,https://revisatucandidato.pe/
Roberto Sanchez Palomino,4,6,121980,2,1,5,https://revisatucandidato.pe/
